Political Affiliation,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Disagree,20,Yes,,Too Low,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,DK/REF,0,Somewhat Agree,Somewhat Disagree,6,No,90,Too High,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,0,No,20,About Right,TRUE,Dumb and happy,Acceptable
Republican,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Disagree,1,No,10,About Right,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,30,Yes,,Too Low,FALSE,Smart and Sad,Acceptable
Democrat,DK/REF,Real and Caused by People,0,Strongly Agree,Strongly Agree,15,No,1,Too Low,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,0,Yes,10,About Right,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,40,No,,DK/REF,TRUE,Smart and Sad,Unacceptable
Republican,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,0,No,90,About Right,TRUE,Dumb and happy,Unacceptable
Democrat,DK/REF,Real and Caused by People,0,Somewhat Agree,Strongly Agree,1,No,30,Too Low,TRUE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,8,Too Low,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Disagree,Somewhat Agree,2,Yes,75,Too High,DK/REF,Dumb and happy,Unacceptable
Democrat,DK/REF,Real and Caused by People,0,Strongly Disagree,Somewhat Agree,12,Yes,2,Too High,TRUE,Dumb and happy,Unacceptable
Democrat,Likely,DK/REF,0,Strongly Agree,Strongly Agree,6,No,80,Too Low,DK/REF,Smart and Sad,Unacceptable
Republican,Likely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,6,No,5,Too Low,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,24,No,10,Too Low,TRUE,DK/REF,Unacceptable
DK/REF,Likely,Real and Caused by People,5,Strongly Agree,Strongly Agree,0,Yes,,Too Low,DK/REF,Dumb and happy,Unacceptable
Democrat,Likely,Real but not Caused by People,1,Strongly Disagree,Strongly Agree,40,No,25,Too High,TRUE,Dumb and happy,Acceptable
Republican,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,15,No,10,Too High,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,2,Strongly Agree,DK/REF,5,Yes,,Too Low,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,4,Strongly Agree,Strongly Agree,4,Yes,25,Too Low,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Agree,0,No,10,About Right,TRUE,Dumb and happy,Unacceptable
Democrat,Likely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,6,Yes,30,Too Low,TRUE,Dumb and happy,Acceptable
